X,Y,ASCII,Foreground,Background
0,0,32,#000000,#000000
1,0,32,#000000,#000000
2,0,32,#000000,#000000
3,0,32,#000000,#000000
4,0,32,#000000,#000000
5,0,32,#000000,#000000
6,0,32,#000000,#000000
7,0,32,#000000,#000000
8,0,32,#000000,#000000
9,0,32,#000000,#000000
10,0,32,#000000,#000000
11,0,32,#000000,#000000
12,0,32,#000000,#000000
13,0,32,#000000,#000000
14,0,32,#000000,#000000
15,0,32,#000000,#000000
16,0,32,#000000,#000000
17,0,32,#000000,#000000
18,0,32,#000000,#000000
19,0,32,#000000,#000000
20,0,32,#000000,#000000
21,0,32,#000000,#000000
22,0,32,#000000,#000000
23,0,32,#000000,#000000
24,0,32,#000000,#000000
25,0,32,#000000,#000000
26,0,32,#000000,#000000
27,0,32,#000000,#000000
28,0,32,#000000,#000000
29,0,32,#000000,#000000
30,0,32,#000000,#000000
31,0,32,#000000,#000000
32,0,32,#000000,#000000
33,0,32,#000000,#000000
34,0,32,#000000,#000000
35,0,32,#000000,#000000
36,0,32,#000000,#000000
37,0,32,#000000,#000000
38,0,32,#000000,#000000
39,0,32,#000000,#000000
40,0,32,#000000,#000000
41,0,32,#000000,#000000
42,0,32,#000000,#000000
43,0,32,#000000,#000000
44,0,32,#000000,#000000
45,0,32,#000000,#000000
46,0,32,#000000,#000000
47,0,32,#000000,#000000
48,0,32,#000000,#000000
49,0,32,#000000,#000000
50,0,32,#000000,#000000
51,0,32,#000000,#000000
52,0,32,#000000,#000000
53,0,32,#000000,#000000
54,0,32,#000000,#000000
55,0,32,#000000,#000000
56,0,32,#000000,#000000
57,0,32,#000000,#000000
58,0,32,#000000,#000000
59,0,32,#000000,#000000
60,0,32,#000000,#000000
61,0,32,#000000,#000000
62,0,32,#000000,#000000
63,0,32,#000000,#000000
64,0,32,#000000,#000000
65,0,32,#000000,#000000
66,0,32,#000000,#000000
67,0,32,#000000,#000000
68,0,32,#000000,#000000
69,0,32,#000000,#000000
70,0,32,#000000,#000000
71,0,32,#000000,#000000
72,0,32,#000000,#000000
73,0,32,#000000,#000000
74,0,32,#000000,#000000
75,0,32,#000000,#000000
76,0,32,#000000,#000000
77,0,32,#000000,#000000
78,0,32,#000000,#000000
79,0,32,#000000,#000000
80,0,32,#000000,#000000
81,0,32,#000000,#000000
82,0,32,#000000,#000000
83,0,32,#000000,#000000
84,0,32,#000000,#000000
85,0,32,#000000,#000000
86,0,32,#000000,#000000
87,0,32,#000000,#000000
88,0,32,#000000,#000000
89,0,32,#000000,#000000
90,0,32,#000000,#000000
91,0,32,#000000,#000000
92,0,32,#000000,#000000
93,0,32,#000000,#000000
94,0,32,#000000,#000000
95,0,32,#000000,#000000
96,0,32,#000000,#000000
97,0,32,#000000,#000000
98,0,32,#000000,#000000
99,0,32,#000000,#000000
100,0,32,#000000,#000000
101,0,32,#000000,#000000
102,0,32,#000000,#000000
103,0,32,#000000,#000000
104,0,32,#000000,#000000
105,0,32,#000000,#000000
106,0,32,#000000,#000000
107,0,32,#000000,#000000
108,0,32,#000000,#000000
109,0,32,#000000,#000000
110,0,32,#000000,#000000
111,0,32,#000000,#000000
0,1,32,#000000,#000000
1,1,32,#000000,#000000
2,1,32,#000000,#000000
3,1,32,#000000,#000000
4,1,32,#000000,#000000
5,1,32,#000000,#000000
6,1,32,#000000,#000000
7,1,32,#000000,#000000
8,1,32,#000000,#000000
9,1,32,#000000,#000000
10,1,32,#000000,#000000
11,1,32,#000000,#000000
12,1,32,#000000,#000000
13,1,32,#000000,#000000
14,1,32,#000000,#000000
15,1,32,#000000,#000000
16,1,32,#000000,#000000
17,1,32,#000000,#000000
18,1,32,#000000,#000000
19,1,32,#000000,#000000
20,1,32,#000000,#000000
21,1,32,#000000,#000000
22,1,32,#000000,#000000
23,1,32,#000000,#000000
24,1,32,#000000,#000000
25,1,32,#000000,#000000
26,1,32,#000000,#000000
27,1,32,#000000,#000000
28,1,32,#000000,#000000
29,1,32,#000000,#000000
30,1,32,#000000,#000000
31,1,32,#000000,#000000
32,1,32,#000000,#000000
33,1,32,#000000,#000000
34,1,32,#000000,#000000
35,1,32,#000000,#000000
36,1,32,#000000,#000000
37,1,32,#000000,#000000
38,1,32,#000000,#000000
39,1,32,#000000,#000000
40,1,32,#000000,#000000
41,1,32,#000000,#000000
42,1,32,#000000,#000000
43,1,32,#000000,#000000
44,1,32,#000000,#000000
45,1,32,#000000,#000000
46,1,32,#000000,#000000
47,1,32,#000000,#000000
48,1,32,#000000,#000000
49,1,32,#000000,#000000
50,1,32,#000000,#000000
51,1,32,#000000,#000000
52,1,32,#000000,#000000
53,1,32,#000000,#000000
54,1,32,#000000,#000000
55,1,32,#000000,#000000
56,1,32,#000000,#000000
57,1,32,#000000,#000000
58,1,32,#000000,#000000
59,1,32,#000000,#000000
60,1,32,#000000,#000000
61,1,32,#000000,#000000
62,1,32,#000000,#000000
63,1,32,#000000,#000000
64,1,32,#000000,#000000
65,1,32,#000000,#000000
66,1,32,#000000,#000000
67,1,32,#000000,#000000
68,1,32,#000000,#000000
69,1,32,#000000,#000000
70,1,32,#000000,#000000
71,1,32,#000000,#000000
72,1,32,#000000,#000000
73,1,32,#000000,#000000
74,1,32,#000000,#000000
75,1,32,#000000,#000000
76,1,32,#000000,#000000
77,1,32,#000000,#000000
78,1,32,#000000,#000000
79,1,32,#000000,#000000
80,1,32,#000000,#000000
81,1,32,#000000,#000000
82,1,32,#000000,#000000
83,1,32,#000000,#000000
84,1,32,#000000,#000000
85,1,32,#000000,#000000
86,1,32,#000000,#000000
87,1,32,#000000,#000000
88,1,32,#000000,#000000
89,1,32,#000000,#000000
90,1,32,#000000,#000000
91,1,32,#000000,#000000
92,1,32,#000000,#000000
93,1,32,#000000,#000000
94,1,32,#000000,#000000
95,1,32,#000000,#000000
96,1,32,#000000,#000000
97,1,32,#000000,#000000
98,1,32,#000000,#000000
99,1,32,#000000,#000000
100,1,32,#000000,#000000
101,1,32,#000000,#000000
102,1,32,#000000,#000000
103,1,32,#000000,#000000
104,1,32,#000000,#000000
105,1,32,#000000,#000000
106,1,32,#000000,#000000
107,1,32,#000000,#000000
108,1,32,#000000,#000000
109,1,32,#000000,#000000
110,1,32,#000000,#000000
111,1,32,#000000,#000000
0,2,32,#000000,#000000
1,2,32,#000000,#000000
2,2,32,#000000,#000000
3,2,32,#000000,#000000
4,2,32,#000000,#000000
5,2,32,#000000,#000000
6,2,32,#000000,#000000
7,2,32,#000000,#000000
8,2,32,#000000,#000000
9,2,32,#000000,#000000
10,2,32,#000000,#000000
11,2,32,#000000,#000000
12,2,32,#000000,#000000
13,2,32,#000000,#000000
14,2,32,#000000,#000000
15,2,32,#000000,#000000
16,2,32,#000000,#000000
17,2,32,#000000,#000000
18,2,32,#000000,#000000
19,2,32,#000000,#000000
20,2,32,#000000,#000000
21,2,32,#000000,#000000
22,2,32,#000000,#000000
23,2,32,#000000,#000000
24,2,32,#000000,#000000
25,2,32,#000000,#000000
26,2,32,#000000,#000000
27,2,32,#000000,#000000
28,2,32,#000000,#000000
29,2,32,#000000,#000000
30,2,32,#000000,#000000
31,2,32,#000000,#000000
32,2,32,#000000,#000000
33,2,32,#000000,#000000
34,2,32,#000000,#000000
35,2,32,#000000,#000000
36,2,32,#000000,#000000
37,2,32,#000000,#000000
38,2,32,#000000,#000000
39,2,32,#000000,#000000
40,2,32,#000000,#000000
41,2,32,#000000,#000000
42,2,32,#000000,#000000
43,2,32,#000000,#000000
44,2,32,#000000,#000000
45,2,32,#000000,#000000
46,2,32,#000000,#000000
47,2,32,#000000,#000000
48,2,32,#000000,#000000
49,2,32,#000000,#000000
50,2,32,#000000,#000000
51,2,32,#000000,#000000
52,2,32,#000000,#000000
53,2,32,#000000,#000000
54,2,32,#000000,#000000
55,2,32,#000000,#000000
56,2,32,#000000,#000000
57,2,32,#000000,#000000
58,2,32,#000000,#000000
59,2,32,#000000,#000000
60,2,32,#000000,#000000
61,2,32,#000000,#000000
62,2,32,#000000,#000000
63,2,32,#000000,#000000
64,2,32,#000000,#000000
65,2,32,#000000,#000000
66,2,32,#000000,#000000
67,2,32,#000000,#000000
68,2,32,#000000,#000000
69,2,32,#000000,#000000
70,2,32,#000000,#000000
71,2,32,#000000,#000000
72,2,32,#000000,#000000
73,2,32,#000000,#000000
74,2,32,#000000,#000000
75,2,32,#000000,#000000
76,2,32,#000000,#000000
77,2,32,#000000,#000000
78,2,32,#000000,#000000
79,2,32,#000000,#000000
80,2,32,#000000,#000000
81,2,32,#000000,#000000
