X,Y,ASCII,Foreground,Background
0,0, ,#fefcd7,#000000
1,0, ,#fefcd7,#000000
2,0,_,#fefcd7,#000000
3,0,.,#fefcd7,#000000
4,0,.,#fefcd7,#000000
5,0,_,#fefcd7,#000000
6,0, ,#fefcd7,#000000
7,0, ,#fefcd7,#000000
8,0, ,#fefcd7,#000000
9,0, ,#fefcd7,#000000
0,1, ,#fefcd7,#000000
1,1,.,#fefcd7,#000000
2,1,',#fefcd7,#000000
3,1, ,#fefcd7,#000000
4,1,.,#fefcd7,#000000
5,1,-,#fefcd7,#000000
6,1,',#fefcd7,#000000
7,1,`,#fefcd7,#000000
8,1, ,#fefcd7,#000000
9,1, ,#fefcd7,#000000
0,2,/,#fefcd7,#000000
1,2, ,#fefcd7,#000000
2,2, ,#fefcd7,#000000
3,2,/,#fefcd7,#000000
4,2, ,#fefcd7,#000000
5,2, ,#fefcd7,#000000
6,2, ,#fefcd7,#000000
7,2, ,#fefcd7,#000000
8,2, ,#fefcd7,#000000
9,2, ,#fefcd7,#000000
0,3,|,#fefcd7,#000000
1,3, ,#fefcd7,#000000
2,3, ,#fefcd7,#000000
3,3,|,#fefcd7,#000000
4,3, ,#fefcd7,#000000
5,3, ,#fefcd7,#000000
6,3, ,#fefcd7,#000000
7,3, ,#fefcd7,#000000
8,3, ,#fefcd7,#000000
9,3, ,#fefcd7,#000000
0,4,\,#fefcd7,#000000
1,4, ,#fefcd7,#000000
2,4, ,#fefcd7,#000000
3,4,',#fefcd7,#000000
4,4,.,#fefcd7,#000000
5,4,_,#fefcd7,#000000
6,4,_,#fefcd7,#000000
7,4,_,#fefcd7,#000000
8,4,.,#fefcd7,#000000
9,4,;,#fefcd7,#000000
0,5, ,#fefcd7,#000000
1,5,',#fefcd7,#000000
2,5,.,#fefcd7,#000000
3,5,_,#fefcd7,#000000
4,5, ,#fefcd7,#000000
5,5, ,#fefcd7,#000000
6,5,_,#fefcd7,#000000
7,5,.,#fefcd7,#000000
8,5,',#fefcd7,#000000
9,5, ,#fefcd7,#000000
0,6, ,#fefcd7,#000000
1,6, ,#fefcd7,#000000
2,6, ,#fefcd7,#000000
3,6, ,#fefcd7,#000000
4,6,`,#fefcd7,#000000
5,6,`,#fefcd7,#000000
6,6, ,#fefcd7,#000000
7,6, ,#fefcd7,#000000
8,6, ,#fefcd7,#000000
9,6, ,#fefcd7,#000000
