X,Y,ASCII,Foreground,Background
0,0, ,#f38630,#000000
1,0, ,#f38630,#000000
2,0, ,#f38630,#000000
3,0, ,#f38630,#000000
4,0, ,#f38630,#000000
5,0, ,#f38630,#000000
6,0,/,#f38630,#000000
7,0,`,#f38630,#000000
8,0,·,#f38630,#000000
9,0,.,#f38630,#000000
10,0,¸,#f38630,#000000
11,0, ,#f38630,#000000
12,0, ,#f38630,#000000
13,0, ,#f38630,#000000
14,0, ,#f38630,#000000
15,0, ,#f38630,#000000
16,0, ,#f38630,#000000
17,0, ,#f38630,#000000
18,0, ,#f38630,#000000
0,1, ,#f38630,#000000
1,1, ,#f38630,#000000
2,1, ,#f38630,#000000
3,1, ,#f38630,#000000
4,1, ,#f38630,#000000
5,1,/,#f38630,#000000
6,1,¸,#f38630,#000000
7,1,.,#f38630,#000000
8,1,.,#f38630,#000000
9,1,.,#f38630,#000000
10,1,¸,#f38630,#000000
11,1,`,#f38630,#000000
12,1,:,#f38630,#000000
13,1,·,#f38630,#000000
14,1, ,#f38630,#000000
15,1, ,#f38630,#000000
16,1, ,#f38630,#000000
17,1, ,#f38630,#000000
18,1, ,#f38630,#000000
0,2, ,#f38630,#000000
1,2,¸,#f38630,#000000
2,2,.,#f38630,#000000
3,2,·,#f38630,#000000
4,2,´,#f38630,#000000
5,2, ,#f38630,#000000
6,2, ,#f38630,#000000
7,2,¸,#f38630,#000000
8,2, ,#f38630,#000000
9,2, ,#f38630,#000000
10,2, ,#f38630,#000000
11,2,`,#f38630,#000000
12,2,·,#f38630,#000000
13,2,.,#f38630,#000000
14,2,¸,#f38630,#000000
15,2,.,#f38630,#000000
16,2,·,#f38630,#000000
17,2,´,#f38630,#000000
18,2,),#f38630,#000000
0,3,:,#f38630,#000000
1,3, ,#f38630,#000000
2,3,©,#f38630,#000000
3,3, ,#f38630,#000000
4,3,),#f38630,#000000
5,3,:,#f38630,#000000
6,3,´,#f38630,#000000
7,3,;,#f38630,#000000
8,3, ,#f38630,#000000
9,3, ,#f38630,#000000
10,3, ,#f38630,#000000
11,3, ,#f38630,#000000
12,3, ,#f38630,#000000
13,3, ,#f38630,#000000
14,3,¸,#f38630,#000000
15,3, ,#f38630,#000000
16,3, ,#f38630,#000000
17,3,{,#f38630,#000000
18,3, ,#f38630,#000000
0,4, ,#f38630,#000000
1,4,`,#f38630,#000000
2,4,·,#f38630,#000000
3,4,.,#f38630,#000000
4,4,¸,#f38630,#000000
5,4, ,#f38630,#000000
6,4,`,#f38630,#000000
7,4,·,#f38630,#000000
8,4, ,#f38630,#000000
9,4, ,#f38630,#000000
10,4,¸,#f38630,#000000
11,4,.,#f38630,#000000
12,4,·,#f38630,#000000
13,4,´,#f38630,#000000
14,4,\,#f38630,#000000
15,4,`,#f38630,#000000
16,4,·,#f38630,#000000
17,4,¸,#f38630,#000000
18,4,),#f38630,#000000
0,5, ,#f38630,#000000
1,5, ,#f38630,#000000
2,5, ,#f38630,#000000
3,5, ,#f38630,#000000
4,5, ,#f38630,#000000
5,5,`,#f38630,#000000
6,5,\,#f38630,#000000
7,5,\,#f38630,#000000
8,5,´,#f38630,#000000
9,5,´,#f38630,#000000
10,5,\,#f38630,#000000
11,5,¸,#f38630,#000000
12,5,.,#f38630,#000000
13,5,·,#f38630,#000000
14,5,´,#f38630,#000000
15,5, ,#f38630,#000000
16,5, ,#f38630,#000000
17,5, ,#f38630,#000000
18,5, ,#f38630,#000000
