X,Y,ASCII,Foreground,Background
0,0, ,#FFFFFF,#000000
1,0, ,#FFFFFF,#000000
2,0, ,#FFFFFF,#000000
3,0, ,#FFFFFF,#000000
4,0, ,#FFFFFF,#000000
5,0, ,#FFFFFF,#000000
6,0,.,#FFFFFF,#000000
7,0, ,#FFFFFF,#000000
8,0, ,#FFFFFF,#000000
9,0, ,#FFFFFF,#000000
10,0, ,#FFFFFF,#000000
11,0, ,#FFFFFF,#000000
12,0, ,#FFFFFF,#000000
13,0, ,#FFFFFF,#000000
14,0, ,#FFFFFF,#000000
15,0, ,#FFFFFF,#000000
16,0, ,#FFFFFF,#000000
17,0, ,#FFFFFF,#000000
18,0, ,#FFFFFF,#000000
19,0, ,#FFFFFF,#000000
20,0, ,#FFFFFF,#000000
21,0, ,#FFFFFF,#000000
0,1,\,#FFFFFF,#000000
1,1,_,#FFFFFF,#000000
2,1,_,#FFFFFF,#000000
3,1,_,#FFFFFF,#000000
4,1,_,#FFFFFF,#000000
5,1,_,#FFFFFF,#000000
6,1,),#FFFFFF,#000000
7,1,\,#FFFFFF,#000000
8,1,_,#FFFFFF,#000000
9,1,_,#FFFFFF,#000000
10,1,_,#FFFFFF,#000000
11,1,_,#FFFFFF,#000000
12,1,_,#FFFFFF,#000000
13,1, ,#FFFFFF,#000000
14,1, ,#FFFFFF,#000000
15,1, ,#FFFFFF,#000000
16,1, ,#FFFFFF,#000000
17,1, ,#FFFFFF,#000000
18,1, ,#FFFFFF,#000000
19,1, ,#FFFFFF,#000000
20,1, ,#FFFFFF,#000000
21,1, ,#FFFFFF,#000000
0,2,/,#FFFFFF,#000000
1,2,-,#FFFFFF,#000000
2,2,-,#FFFFFF,#000000
3,2,v,#FFFFFF,#000000
4,2,_,#FFFFFF,#000000
5,2,_,#FFFFFF,#000000
6,2,_,#FFFFFF,#000000
7,2,_,#FFFFFF,#000000
8,2, ,#FFFFFF,#000000
9,2,_,#FFFFFF,#000000
10,2,_,#FFFFFF,#000000
11,2,`,#FFFFFF,#000000
12,2,<,#FFFFFF,#000000
13,2, ,#FFFFFF,#000000
14,2, ,#FFFFFF,#000000
15,2, ,#FFFFFF,#000000
16,2, ,#FFFFFF,#000000
17,2, ,#FFFFFF,#000000
18,2, ,#FFFFFF,#000000
19,2, ,#FFFFFF,#000000
20,2, ,#FFFFFF,#000000
21,2, ,#FFFFFF,#000000
0,3, ,#FFFFFF,#000000
1,3, ,#FFFFFF,#000000
2,3, ,#FFFFFF,#000000
3,3, ,#FFFFFF,#000000
4,3, ,#FFFFFF,#000000
5,3, ,#FFFFFF,#000000
6,3, ,#FFFFFF,#000000
7,3, ,#FFFFFF,#000000
8,3,),#FFFFFF,#000000
9,3,/,#FFFFFF,#000000
10,3, ,#FFFFFF,#000000
11,3, ,#FFFFFF,#000000
12,3, ,#FFFFFF,#000000
13,3, ,#FFFFFF,#000000
14,3, ,#FFFFFF,#000000
15,3, ,#FFFFFF,#000000
16,3, ,#FFFFFF,#000000
17,3, ,#FFFFFF,#000000
18,3, ,#FFFFFF,#000000
19,3, ,#FFFFFF,#000000
20,3, ,#FFFFFF,#000000
21,3, ,#FFFFFF,#000000
0,4, ,#FFFFFF,#000000
1,4, ,#FFFFFF,#000000
2,4, ,#FFFFFF,#000000
3,4, ,#FFFFFF,#000000
4,4, ,#FFFFFF,#000000
5,4, ,#FFFFFF,#000000
6,4, ,#FFFFFF,#000000
7,4, ,#FFFFFF,#000000
8,4,',#FFFFFF,#000000
9,4, ,#FFFFFF,#000000
10,4, ,#FFFFFF,#000000
11,4, ,#FFFFFF,#000000
12,4, ,#FFFFFF,#000000
13,4, ,#FFFFFF,#000000
14,4, ,#FFFFFF,#000000
15,4, ,#FFFFFF,#000000
16,4, ,#FFFFFF,#000000
17,4, ,#FFFFFF,#000000
18,4, ,#FFFFFF,#000000
19,4, ,#FFFFFF,#000000
20,4, ,#FFFFFF,#000000
21,4, ,#FFFFFF,#000000
