X,Y,ASCII,Foreground,Background
0,0, ,#000000,#000000
1,0, ,#000000,#000000
2,0, ,#000000,#000000
3,0, ,#000000,#000000
4,0, ,#000000,#000000
5,0, ,#000000,#000000
6,0, ,#000000,#000000
7,0, ,#000000,#000000
8,0, ,#000000,#000000
9,0, ,#000000,#000000
10,0, ,#000000,#000000
11,0, ,#000000,#000000
12,0, ,#000000,#000000
13,0, ,#000000,#000000
14,0, ,#000000,#000000
15,0, ,#000000,#000000
16,0, ,#000000,#000000
17,0, ,#000000,#000000
18,0, ,#000000,#000000
19,0, ,#000000,#000000
20,0, ,#000000,#000000
21,0, ,#000000,#000000
22,0, ,#000000,#000000
23,0, ,#000000,#000000
24,0, ,#000000,#000000
25,0, ,#000000,#000000
26,0, ,#000000,#000000
27,0, ,#000000,#000000
28,0, ,#000000,#000000
29,0, ,#000000,#000000
30,0, ,#000000,#000000
31,0, ,#000000,#000000
32,0, ,#000000,#000000
33,0, ,#000000,#000000
34,0, ,#000000,#000000
35,0, ,#000000,#000000
36,0, ,#000000,#000000
37,0, ,#000000,#000000
38,0, ,#000000,#000000
39,0, ,#000000,#000000
40,0, ,#000000,#000000
41,0, ,#000000,#000000
42,0, ,#000000,#000000
43,0, ,#000000,#000000
44,0, ,#000000,#000000
45,0, ,#000000,#000000
46,0, ,#000000,#000000
47,0, ,#000000,#000000
48,0, ,#000000,#000000
49,0, ,#000000,#000000
50,0, ,#000000,#000000
51,0, ,#000000,#000000
52,0, ,#000000,#000000
53,0, ,#000000,#000000
54,0, ,#000000,#000000
55,0, ,#000000,#000000
56,0, ,#000000,#000000
57,0, ,#000000,#000000
58,0, ,#000000,#000000
59,0, ,#000000,#000000
60,0, ,#000000,#000000
61,0, ,#000000,#000000
62,0, ,#000000,#000000
63,0, ,#000000,#000000
64,0, ,#000000,#000000
65,0, ,#000000,#000000
66,0, ,#000000,#000000
67,0, ,#000000,#000000
68,0, ,#000000,#000000
69,0, ,#000000,#000000
70,0, ,#000000,#000000
71,0, ,#000000,#000000
72,0, ,#000000,#000000
73,0, ,#000000,#000000
74,0, ,#000000,#000000
75,0, ,#000000,#000000
76,0, ,#000000,#000000
77,0, ,#000000,#000000
78,0, ,#000000,#000000
79,0, ,#000000,#000000
80,0, ,#000000,#000000
81,0, ,#000000,#000000
82,0, ,#000000,#000000
83,0, ,#000000,#000000
84,0, ,#000000,#000000
85,0, ,#000000,#000000
86,0, ,#000000,#000000
87,0, ,#000000,#000000
88,0, ,#000000,#000000
89,0, ,#000000,#000000
90,0, ,#000000,#000000
91,0, ,#000000,#000000
92,0, ,#000000,#000000
93,0, ,#000000,#000000
94,0, ,#000000,#000000
95,0, ,#000000,#000000
96,0, ,#000000,#000000
97,0, ,#000000,#000000
98,0, ,#000000,#000000
99,0, ,#000000,#000000
100,0, ,#000000,#000000
101,0, ,#000000,#000000
102,0, ,#000000,#000000
103,0, ,#000000,#000000
104,0, ,#000000,#000000
105,0, ,#000000,#000000
106,0, ,#000000,#000000
107,0, ,#000000,#000000
108,0, ,#000000,#000000
109,0, ,#000000,#000000
110,0, ,#000000,#000000
111,0, ,#000000,#000000
0,1, ,#000000,#000000
1,1, ,#000000,#000000
2,1, ,#000000,#000000
3,1, ,#000000,#000000
4,1, ,#000000,#000000
5,1, ,#000000,#000000
6,1, ,#000000,#000000
7,1, ,#000000,#000000
8,1, ,#000000,#000000
9,1, ,#000000,#000000
10,1, ,#000000,#000000
11,1, ,#000000,#000000
12,1, ,#000000,#000000
13,1, ,#000000,#000000
14,1, ,#000000,#000000
15,1, ,#000000,#000000
16,1, ,#000000,#000000
17,1, ,#000000,#000000
18,1, ,#000000,#000000
19,1, ,#000000,#000000
20,1, ,#000000,#000000
21,1, ,#000000,#000000
22,1, ,#000000,#000000
23,1, ,#000000,#000000
24,1, ,#000000,#000000
25,1, ,#000000,#000000
26,1, ,#000000,#000000
27,1, ,#000000,#000000
28,1, ,#000000,#000000
29,1, ,#000000,#000000
30,1, ,#000000,#000000
31,1, ,#000000,#000000
32,1, ,#000000,#000000
33,1, ,#000000,#000000
34,1, ,#000000,#000000
35,1, ,#000000,#000000
36,1, ,#000000,#000000
37,1, ,#000000,#000000
38,1, ,#000000,#000000
39,1, ,#000000,#000000
40,1, ,#000000,#000000
41,1, ,#000000,#000000
42,1, ,#000000,#000000
43,1, ,#000000,#000000
44,1, ,#000000,#000000
45,1, ,#000000,#000000
46,1, ,#000000,#000000
47,1, ,#000000,#000000
48,1, ,#000000,#000000
49,1, ,#000000,#000000
50,1, ,#000000,#000000
51,1, ,#000000,#000000
52,1, ,#000000,#000000
53,1, ,#000000,#000000
54,1, ,#000000,#000000
55,1, ,#000000,#000000
56,1, ,#000000,#000000
57,1, ,#000000,#000000
58,1, ,#000000,#000000
59,1, ,#000000,#000000
60,1, ,#000000,#000000
61,1, ,#000000,#000000
62,1, ,#000000,#000000
63,1, ,#000000,#000000
64,1, ,#000000,#000000
65,1, ,#000000,#000000
66,1, ,#000000,#000000
67,1, ,#000000,#000000
68,1, ,#000000,#000000
69,1, ,#000000,#000000
70,1, ,#000000,#000000
71,1, ,#000000,#000000
72,1, ,#000000,#000000
73,1, ,#000000,#000000
